Title,Author,Gitenberg Status,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,CAN REQUEST DATE
A Christmas Carol,Charles Dickens, DONE,,,,,,7/7/2015
A Little Princess,Frances Hodgson Burnett, DONE,,,,,,7/7/2015
A Portrait of the Artist as a Young Man,James Joyce, DONE,,,,,,7/7/2015
A Room with a View,E. M. Forster, DONE,,,,,,7/7/2015
Agnes Grey,Anne Bronte, DONE,,,,,,7/7/2015
Alice's Adventures in Wonderland,Lewis Carroll, DONE,,,,,,7/7/2015
Anne of Green Gables,L.M. Montgomery, DONE,,,,,,7/7/2015
Around the World in 80 Days,Jules Verne, DONE,,,,,,7/7/2015
Babbitt,Sinclair Lewis, DONE,,,,,,7/7/2015
Bleak House,Charles Dickens, DONE,,,,,,7/7/2015
"The Personal History, Adventures, Experience and Observation of David Copperfield the Younger of Blunderstone Rookery",Charles Dickens, DONE,,,,,,7/7/2015
Dead Souls,Nikolai Gogol,,,,,,,7/7/2015
Far From the Madding Crowd,Thomas Hardy,,,,,,,7/7/2015
Great Expectations,Charles Dickens,,,,,,,7/7/2015
Howards End,E. M. Forster,,,,,,,7/7/2015
Jacob's Room,Virginia Woolf,,,,,,,7/7/2015
"Middlemarch, A Study of Provincial Life",George Eliot,,,,,,,7/7/2015
"Oliver Twist, or the Parish Boy's Progress",Charles Dickens,,,,,,,7/7/2015
On the Origin of Species,Charles Darwin,,,,,,,7/7/2015
A Tale of Two Cities,Charles Dickens, DONE,X,,,YES,,
Adventures of Huckleberry Finn,Mark Twain, SETH/NESSIE DONE,X,,,YES,,
Andersen's Fairy Tales,Hans Christian Andersen, DONE,,,,,,
Anna Karenina,Leo Tolstoy,,X,,,YES,,
The Call of the Wild,Jack London, DONE,,,,YES,,
Crime and Punishment,Fyodor Dostoevsky,,X,,,YES,,
The Ingenious Gentleman Don Quixote of La Mancha,Miguel de Cervantes,SETH/NESSIE DONE,X,,,YES,,
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,,X,,,YES,,
Dracula,Bram Stoker, DONE,X,,,YES,,
Dubliners,James Joyce,SETH/NESSIE DONE,X,,,YES,,
Flatland: A Romance of Many Dimensions,Edwin A. Abbott, DONE,X,,,YES,,
Frankenstein,Mary Shelley,SETH/NESSIE DONE,X,,,YES,,
Grimm's Fairy Tales,Brothers Grimm,,X,,,YES,,
Gulliver's Travels,Jonathan Swift,,X,,,YES,,
Heart of Darkness,Joseph Conrad,DONE,X,,,YES,,
Inferno,Dante Alighieri,,,,,YES,,
Jane Eyre,Charlotte Bronte,SETH/NESSIE DONE,X,,,YES,,
Journey to the Center of the Earth,Jules Verne,,X,,,YES,,
Jude the Obscure,Thomas Hardy,,X,,,YES,,
King Solomon's Mines,H. Rider Haggard,,,,,YES,,
Les Miserables,Victor Hugo,,X,,,YES,,
Little Women,Louisa May Alcott,,X,,,YES,,
Madame Bovary,Gustave Flaubert,DONE,X,,,,,
Moby-Dick,Herman Melville,SETH/NESSIE DONE,X,,,YES,,
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,SETH/NESSIE DONE,,,,YES,,
Paradise Lost,John Milton,,,,,,,
Persuasion,Jane Austen,,,,,,,
Peter Pan in Kensington Gardens,J. M. Barrie,DONE,,,,,,
Pride and Prejudice,Jane Austen,SETH/NESSIE DONE,X,,,YES,,
The Merry Adventures of Robin Hood,Howard Pyle, DONE,,,,,,
Robinson Crusoe,Daniel Defoe,,X,,,YES,,
Sense and Sensibility,Jane Austen,,,,,,,
Siddhartha,Hermann Hesse,,,,,,,
Swann's Way,Marcel Proust,,X,,,YES,,
Tales of the Jazz Age,F. Scott Fitzgerald,,,,,,,
Tess of the D'Urbervilles: A Pure Woman Faithfully Presented,Thomas Hardy,,,,,,,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,SETH/NESSIE DONE,X,,,YES,,
The Adventures of Tom Sawyer,Mark Twain,,,,,,,
The Arabian Nights: Tales from a Thousand and One Nights,Unknown,,,,,,,
The Art of War,Sun Tzu,,,,,,,
The Awakening,Kate Chopin,,,,,YES,,
The Brothers Karamazov,Fyodor Dostoevsky, SETH/NESSIE DONE,X,,,YES,,
The Count of Monte Cristo,Alexandre Dumas,,,,,YES,,
The Federalist,"Alexander Hamilton, James Madison, John Jay",,,,,,,
The Good Soldier: A Tale of Passion,Ford Madox Ford,,,,,,,
The House of the Seven Gables,Nathaniel Hawthorne,,,,,,,
The Hunchback of Notre Dame,Victor Hugo,,,,,,,
The Invisible Man,H.G. Wells,,,,,,,
The Jungle,Upton Sinclair,,X,,,YES,,
The Jungle Book,Rudyard Kipling,,X,,,YES,,
The Lady with the Dog and Other Stories,Anton Chekhov,,,,,,,
The Last of the Mohicans,James Fenimore Cooper,SETH/NESSIE DONE,,,,,,
The Man in the Iron Mask,Alexandre Dumas,,,,,,,
The Metamorphosis,Franz Kafka,,,,,YES,,
The Phantom of the Opera,Gaston Leroux,,,,,,,
The Posthumous Papers of the Pickwick Club,Charles Dickens,,,,,,,
The Picture of Dorian Gray,Oscar Wilde,,,,,YES,,
The Red Badge of Courage,Stephen Crane, DONE,,,X,YES,,
The Scarlet Letter,Nathaniel Hawthorne,,,,,YES,,
The Secret Garden,Frances Hodgson Burnett,,,,,,,
The Swiss Family Robinson,Johann David Wyss,,,,,,,
The Three Musketeers,Alexandre Dumas,,X,,,YES,,
The Time Machine,H. G. Wells,SETH/NESSIE DONE,X,,,YES,,
The War of the Worlds,H. G. Wells,,X,,,YES,,
The Wind in the Willows,Kenneth Grahame,,,,,,,
The Wonderful Wizard of Oz,L. Frank Baum, DONE,X,,,YES,,
The Works of Edgar Allan Poe,Edgar Allan Poe,,,,,YES,,
This Side of Paradise,F. Scott Fitzgerald,,,,,YES,,
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,,X,,,YES,,
Thus Spake Zarathustra: A Book for All and None,Frederich Nietzsche,,,,,,,
Treasure Island,Robert Louis Stevenson,,,,,,,
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,,,,,,,
Twelve Years a Slave,Solomon Northup,,,,,,,
Twenty Thousand Leagues Under the Sea,Jules Verne,,X,,,YES,,
Ulysses,James Joyce,,,,,YES,,
"Uncle Tom's Cabin; or, Life Among the Lowly",Harriet Beecher Stowe,,,,,,,
War and Peace,Leo Tolstoy,,X,,,YES,,
Winesburg Ohio,Sherwood Anderson,,X,,,YES,,
Wuthering Heights,Emily Bronte,,,,,,,
,,,,,,,,
Proposed Ones,,,,,,,,
Emma,Jane Austin,,,,,,,
North and South,Elizabeth Gaskell,,,,,,,
